C1	7.87	37.34	90.00	0.1 uF	C0805
C2	24.13	48.26	90.00	100 nF	C0805K
C3	13.97	29.21	270.00	3.3 uF	C0805
C4	43.18	19.05	270.00	0.1 uF	C0805
C5	59.82	37.21	90.00	0.1 uF	C0805
R1	22.35	35.18	270.00	12 K	0805
R2	11.43	46.99	270.00	1 K	0805
R3	7.62	45.21	270.00	1 K	0805
R4	16.00	21.21	90.00	100 R	0805
R5	25.78	21.72	270.00	4.7 K	0805
R6	49.91	18.92	270.00	100 R	0805
R7	70.48	25.27	90.00	100 R	0805
R9	66.29	36.32	180.00	1 K	0805
